StationID,Lat,Lon,Rainfall_mm
10866,-33.93,117.33,77.6
10878,-33.56,119.58,39.7
10888,-32.81,116.69,31.6
10889,-32.89,118.63,54.7
10897,-34.22,118.5,42.8
10905,-33.89,119.11,66.8
10911,-33.1,118.46,48.4
10912,-32.59,117.64,46.6
10916,-33.69,117.61,85.6
10917,-32.67,116.67,139.2
10919,-32.69,116.61,134.8
10920,-32.27,116.67,129.4
10921,-34.24,118.22,69.4
10923,-33.0,116.85,111.6
11003,-31.68,128.9,9.6
11019,-32.25,126.3,24.1
11022,-31.71,128.89,13.4
11052,-30.85,128.11,7.2
11053,-32.2,127.53,35.6
12009,-32.21,121.75,43.4
12011,-30.98,119.07,115.5
12013,-30.75,121.75,35.2
12027,-29.81,122.35,30.8
12038,-30.78,121.45,50.2
12044,-33.55,120.7,31.0
12064,-31.33,118.97,70.4
12071,-32.99,121.62,35.0
12083,-31.3,118.7,78.6
12114,-33.68,120.7,17.7
12223,-33.22,121.35,29.8
12227,-30.82,119.52,78.8
12239,-28.5,119.74,41.4
12241,-28.88,121.32,22.8
12297,-33.49,122.59,49.6
12305,-28.61,122.42,27.6
12314,-27.84,120.7,20.8
12320,-31.24,119.36,111.2
13011,-26.13,126.58,0.6
13015,-25.8,122.98,30.7
13017,-25.03,128.3,5.6
13018,-26.12,121.94,5.5
13030,-21.71,122.23,0.0
13040,-27.15,124.57,15.5
13044,-26.63,120.22,26.8
14015,-12.42,130.89,0.0
14023,-12.25,131.04,0.2
14031,-12.39,130.63,0.6
14041,-12.61,131.3,0.8
14050,-12.47,130.85,0.0
14055,-13.48,131.12,0.0
14059,-14.08,131.81,0.0
14142,-11.4,130.42,0.0
14144,-12.4,130.88,0.0
14163,-12.44,130.84,0.0
14198,-12.66,132.89,0.0
14224,-13.81,132.2,1.6
14226,-12.58,131.08,0.2
14246,-12.38,130.91,0.0
14253,-13.17,130.12,0.0
14254,-12.24,131.88,55.8
14256,-12.9,132.53,4.8
14266,-12.41,130.97,0.0
14272,-13.05,131.03,0.0
14274,-11.05,132.98,0.0
14277,-12.64,130.37,0.0
14299,-14.72,134.75,0.0
14306,-16.82,136.33,0.0
14308,-11.16,132.48,0.2
14309,-11.55,132.93,0.0
14310,-12.33,133.01,0.0
14314,-12.61,131.05,3.0
14401,-11.65,133.38,0.0
14404,-12.09,134.89,0.0
14405,-12.06,134.23,0.0
14517,-12.0,135.57,0.0
14518,-13.97,136.46,0.8
14602,-14.14,134.47,0.0
14626,-16.26,133.38,0.2
14627,-13.67,134.34,0.0
14648,-14.14,133.11,0.0
14651,-13.83,133.33,0.0
14652,-14.53,132.8,0.0
14653,-14.26,133.59,0.0
14654,-14.33,133.12,0.0
14703,-15.74,136.82,1.2
14704,-16.44,136.08,0.0
14723,-16.08,136.3,0.0
14729,-15.63,136.39,0.0
14730,-14.11,133.34,0.4
14806,-16.42,132.09,0.0
14808,-15.44,130.57,0.0
14816,-15.74,131.53,0.0
14825,-16.4,131.01,0.0
14828,-16.39,131.56,0.0
14829,-18.33,130.64,0.0
14830,-17.6,131.54,0.4
14854,-17.86,130.88,0.2
14866,-17.61,130.07,0.0
14867,-16.96,130.57,0.0
14901,-13.83,131.19,0.0
14906,-14.19,130.88,0.0
14909,-13.33,133.09,2.4
14932,-14.52,132.38,0.0
14947,-14.01,132.21,0.4
14949,-15.74,131.92,0.0
14950,-14.12,132.64,1.6
14954,-14.94,130.81,0.0
14962,-14.25,132.74,6.0
14965,-14.19,132.4,0.0
14966,-14.31,132.42,0.2
14970,-14.11,132.9,0.2
14972,-13.85,132.65,2.2
14982,-12.79,130.85,0.0
14983,-12.91,131.87,0.4
14984,-13.09,131.85,1.4
15131,-17.56,133.54,0.0
15135,-19.64,134.18,1.2
15511,-25.31,131.76,0.0
15531,-23.95,132.77,2.2
15590,-23.8,133.89,0.2
15602,-22.95,136.14,0.0
15611,-22.72,131.17,0.0
15633,-24.06,132.74,2.2
15635,-25.19,130.97,1.6
15643,-22.45,133.64,0.0
15652,-24.29,131.55,3.2
15664,-23.27,129.38,0.0
15666,-20.18,130.01,0.0
15679,-23.7,133.84,0.4
16001,-31.16,136.81,14.0
16006,-29.94,134.15,9.6
16055,-32.38,135.52,17.0
16056,-32.12,137.15,14.0
16059,-29.81,133.36,13.0
16065,-30.45,137.17,7.4
16067,-32.44,136.07,24.8
16090,-29.03,134.72,4.8
16095,-26.21,133.85,0.6
16096,-30.49,136.87,7.0
16097,-26.26,132.18,10.8
16098,-30.71,134.58,11.4
17014,-31.09,138.68,16.4
17024,-30.07,138.27,4.4
17043,-27.56,135.45,1.2
17055,-30.02,138.04,2.0
17089,-27.72,138.25,0.4
17099,-30.31,139.34,9.3
17110,-30.6,138.42,7.2
17119,-30.84,138.32,9.8
17123,-28.1,140.2,1.2
17126,-29.66,138.07,0.4
17131,-29.91,139.73,1.8
18001,-33.91,136.57,22.0
18012,-32.13,133.7,14.2
18014,-33.7,136.49,32.1
18019,-34.39,135.47,87.8
18022,-33.68,136.91,9.3
18023,-34.26,135.73,56.1
18024,-33.47,136.21,22.8
18037,-33.19,136.56,23.5
18040,-33.14,136.41,12.8
18044,-33.13,135.55,25.3
18046,-33.57,135.76,51.8
18063,-31.93,133.01,10.0
18069,-33.65,134.89,48.3
18071,-34.6,135.87,58.1
18079,-32.81,134.2,26.5
18083,-33.04,135.45,25.0
18086,-34.38,136.1,19.7
18094,-32.4,134.53,19.6
18099,-34.13,135.73,72.2
18106,-31.45,130.9,28.0
18113,-33.97,136.25,21.2
18116,-33.71,136.5,30.4
18120,-33.05,137.52,23.0
18137,-34.83,135.7,92.0
18171,-34.14,135.33,61.8
18176,-33.34,136.75,19.0
18188,-34.63,135.47,70.9
18190,-32.9,136.19,24.6
18192,-34.6,135.88,44.8
18195,-32.84,135.15,34.6
18201,-32.51,137.72,14.4
18204,-33.59,134.89,25.2
18217,-34.25,135.71,61.2
18218,-32.11,133.2,8.0
18219,-32.18,134.08,25.0
18229,-32.68,137.37,16.0
18230,-34.68,135.34,49.0
19001,-33.05,138.43,16.8
19006,-32.88,138.35,24.4
19008,-32.46,138.2,24.6
19009,-32.42,138.53,32.4
19017,-31.9,138.44,19.4
19024,-32.83,138.19,57.2
19025,-32.77,138.51,31.0
19031,-32.89,139.06,22.7
19032,-32.73,138.61,18.4
19037,-33.02,138.0,39.7
19038,-32.35,138.04,30.4
19047,-32.69,138.32,31.9
19048,-32.65,138.1,18.4
19052,-33.03,138.27,52.6
19053,-33.09,138.21,54.8
19062,-33.03,138.76,33.6
19107,-31.37,138.72,3.4
19114,-32.43,138.89,21.4
19115,-33.02,138.62,52.6
19120,-32.85,138.0,32.4
19122,-32.21,138.24,20.4
20001,-31.97,140.54,20.1
20010,-32.06,139.38,9.4
20013,-32.43,139.99,19.4
20020,-32.64,139.65,9.8
20022,-33.25,140.03,9.6
20028,-33.76,140.13,16.5
20043,-33.19,139.62,9.2
20055,-31.75,140.34,11.4
20062,-32.57,139.56,12.2
21001,-34.03,138.68,61.8
21002,-34.14,138.42,29.2
21003,-33.85,138.49,37.2
21010,-33.75,138.56,52.2
21012,-33.86,138.01,41.2
21016,-33.35,138.21,28.8
21019,-33.83,138.79,58.2
21020,-33.36,138.39,49.1
21022,-33.47,138.44,45.3
21027,-33.2,138.61,32.6
21029,-33.59,138.33,44.2
21031,-33.19,138.3,65.5
21033,-33.91,138.72,60.6
21034,-33.56,138.9,43.6
21042,-33.6,137.93,32.0
21057,-33.57,138.45,46.4
21059,-33.69,138.64,43.0
21062,-33.3,138.76,38.0
21063,-34.16,138.18,18.6
21072,-33.33,138.32,38.8
21075,-33.75,138.61,46.0
21076,-33.93,138.81,2.0
21077,-33.68,138.94,36.9
21100,-33.65,138.83,13.4
21110,-33.79,137.71,21.2
21123,-33.94,138.72,49.6
21127,-33.88,138.64,66.2
21130,-34.1,138.63,13.2
21131,-33.82,138.59,56.8
21133,-33.77,138.22,38.4
21137,-34.0,138.57,53.6
21139,-33.24,138.0,37.2
21140,-34.0,138.91,49.0
22008,-34.37,137.67,23.3
22009,-34.77,137.6,38.4
22011,-34.07,137.59,16.8
22012,-34.04,137.9,25.8
22013,-34.49,137.48,27.0
22014,-34.78,137.86,41.6
22015,-34.3,138.0,13.6
22017,-34.91,137.8,43.0
22018,-34.99,137.4,64.0
22020,-33.93,137.64,27.0
22022,-34.14,138.01,35.3
22023,-35.02,137.6,45.6
22031,-34.75,137.53,40.8
22046,-35.11,137.74,47.2
22049,-35.28,136.94,76.6
22050,-33.97,137.66,22.4
22054,-34.56,137.86,52.6
22055,-34.65,137.73,46.2
22056,-34.4,137.72,33.0
22803,-35.84,138.13,56.4
22807,-35.66,137.64,51.6
22823,-35.75,136.6,65.6
22835,-35.73,137.12,83.6
22841,-35.71,137.52,62.8
22843,-35.79,137.25,68.6
23000,-34.93,138.58,42.4
23005,-34.95,138.65,48.0
23011,-34.92,138.6,31.6
23013,-34.8,138.63,51.2
23034,-34.95,138.52,34.0
23039,-34.19,138.63,45.4
23043,-34.76,138.63,39.6
23055,-34.95,138.52,31.6
23076,-34.43,138.26,33.8
23083,-34.71,138.62,57.2
23085,-34.92,138.68,54.0
23096,-34.86,138.68,69.8
23101,-34.89,138.64,56.4
23105,-34.98,138.62,46.8
23107,-34.6,138.74,58.2
23108,-35.05,138.73,118.4
23114,-34.95,138.66,46.2
23115,-34.95,138.58,37.6
23122,-34.51,138.68,57.4
23128,-34.2,138.6,40.0
23129,-34.46,138.56,50.8
23133,-34.87,138.64,60.0
23135,-34.37,138.67,40.2
23137,-34.87,138.57,28.2
23143,-34.98,138.54,2.6
23146,-34.6,138.96,58.2
23147,-33.93,138.68,51.8
23314,-34.16,138.75,50.2
23318,-34.51,138.96,44.6
23348,-34.51,138.84,45.2
23349,-34.09,138.79,44.8
23357,-34.47,139.0,45.6
23365,-34.23,138.7,41.4
23369,-34.46,138.92,50.6
23370,-34.31,138.73,55.6
23372,-34.45,139.06,47.2
23373,-34.48,139.01,54.8
23374,-34.25,139.02,43.8
23379,-34.31,139.12,40.4
23380,-34.3,138.85,55.0
23381,-34.06,139.01,0.0
23382,-34.5,139.08,37.8
23704,-35.01,138.65,73.9
23705,-34.8,138.95,88.1
23710,-35.11,138.62,83.8
23714,-35.37,138.81,62.5
23720,-35.02,138.81,91.5
23721,-35.06,138.57,49.2
23723,-35.49,138.47,91.2
23725,-34.56,139.13,57.0
23731,-34.83,138.82,110.8
23732,-35.14,138.53,61.8
23733,-35.07,138.85,98.2
23734,-35.12,138.68,88.2
23735,-35.35,138.62,34.5
23747,-35.26,138.89,62.4
23750,-34.96,138.74,116.8
23752,-34.65,138.88,78.5
23753,-35.27,138.56,50.4
23754,-35.46,138.35,56.8
23783,-35.4,138.43,85.8
23786,-34.83,139.01,67.0
23787,-35.02,138.86,85.8
23799,-35.22,138.73,90.2
23801,-34.95,138.81,111.4
23803,-34.94,138.73,50.6
23804,-35.55,138.6,62.2
23817,-35.02,138.74,120.8
23820,-34.68,138.86,75.6
23822,-35.18,139.02,40.8
23825,-35.53,138.81,25.1
23842,-34.98,138.71,95.2
23843,-35.03,138.71,103.4
23846,-35.0,138.66,67.2
23858,-34.76,138.78,65.2
23860,-34.95,138.68,54.4
23862,-34.91,138.88,82.0
23863,-35.02,139.0,56.4
23865,-34.89,138.81,107.2
23866,-35.01,138.8,90.8
23867,-34.93,138.75,99.6
23871,-35.32,138.46,56.6
23873,-34.99,138.69,96.4
23876,-35.23,138.54,49.2
23877,-34.79,138.87,101.4
23878,-34.73,138.93,77.4
23879,-34.85,138.88,100.2
23880,-34.76,138.93,91.8
23881,-34.77,139.01,75.6
23882,-34.87,138.91,102.4
23885,-35.16,138.51,46.4
23887,-35.17,138.68,88.8
23890,-35.0,138.62,60.4
23891,-34.98,138.74,107.7
23892,-34.89,138.76,75.6
23894,-35.52,138.82,29.6
23896,-34.88,138.71,71.2
23905,-34.97,138.74,101.4
23910,-35.13,138.69,14.8
23911,-35.06,138.76,106.0
23916,-35.03,138.59,53.6
23920,-34.96,138.87,89.4
23921,-35.1,138.67,90.8
23922,-34.79,138.9,84.8
24003,-34.17,140.75,16.2
24008,-34.26,140.65,21.0
24024,-34.44,140.6,13.6
24025,-34.27,140.6,15.4
24048,-34.2,140.68,12.8
24501,-34.1,139.16,32.8
24504,-34.12,139.36,11.1
24508,-35.13,139.04,32.0
24511,-34.18,139.09,42.4
24518,-35.69,139.34,28.2
24519,-35.41,138.97,32.0
24521,-35.12,139.26,26.4
24525,-34.85,139.16,45.6
24528,-33.99,139.08,40.2
24530,-34.46,139.36,19.6
24531,-34.57,139.3,17.7
24536,-35.25,139.45,24.9
24564,-34.35,139.62,23.2
24572,-35.28,139.2,33.0
24573,-34.41,139.13,51.3
24575,-34.54,139.19,33.6
24579,-34.88,138.97,78.6
24580,-35.28,138.89,63.6
24583,-34.95,138.93,67.4
24584,-35.07,139.23,30.8
24585,-34.51,139.53,18.2
24586,-34.13,139.42,8.2
24589,-35.13,139.11,30.4
24590,-34.8,139.05,65.4
24591,-34.93,139.03,50.2
24592,-35.08,139.07,38.6
25000,-34.73,140.5,11.2
25002,-34.83,139.67,15.0
25006,-35.09,139.9,18.6
25014,-34.72,140.74,18.0
25015,-35.27,140.91,21.7
25050,-34.63,140.24,16.4
25502,-35.38,139.56,23.6
25504,-35.69,139.85,35.0
25506,-35.38,140.16,15.2
25507,-36.1,140.36,68.3
25512,-35.38,140.25,9.1
25514,-35.88,140.06,29.5
25557,-36.11,140.33,64.6
25560,-36.31,140.74,57.0
25562,-35.38,140.54,30.4
26007,-36.71,140.96,64.7
26012,-36.83,139.85,49.4
26016,-36.97,140.37,58.0
26021,-37.75,140.77,109.2
26026,-37.16,139.76,84.3
